[2026-01-20T18:16:43.422Z] Loading filters from directory: /workspaces/Turbo-warp-cloud-variable-server/src/filters
[2026-01-20T18:16:43.428Z] Checking if file is filter: README.md => false
[2026-01-20T18:16:43.429Z] Checking if file is filter: badwords.filter => true
[2026-01-20T18:16:43.430Z] Checking if file is filter: band_users.jsfilter => true
[2026-01-20T18:16:43.431Z] Found filter files: badwords.filter, band_users.jsfilter
[2026-01-20T18:16:43.432Z] Reading filter file: badwords.filter
[2026-01-20T18:16:43.433Z] Loading filter: badwords.filter (isCode: false)
[2026-01-20T18:16:43.435Z] Loaded regex filter from badwords.filter: /4r5e/i
[2026-01-20T18:16:43.436Z] Loaded regex filter from badwords.filter: /5h1t/i
[2026-01-20T18:16:43.437Z] Loaded regex filter from badwords.filter: /5hit/i
[2026-01-20T18:16:43.437Z] Loaded regex filter from badwords.filter: /a55/i
[2026-01-20T18:16:43.438Z] Loaded regex filter from badwords.filter: /anal/i
[2026-01-20T18:16:43.440Z] Loaded regex filter from badwords.filter: /anus/i
[2026-01-20T18:16:43.441Z] Loaded regex filter from badwords.filter: /ar5e/i
[2026-01-20T18:16:43.441Z] Loaded regex filter from badwords.filter: /arrse/i
[2026-01-20T18:16:43.442Z] Loaded regex filter from badwords.filter: /arse/i
[2026-01-20T18:16:43.443Z] Loaded regex filter from badwords.filter: /ass/i
[2026-01-20T18:16:43.444Z] Loaded regex filter from badwords.filter: /ass-fucker/i
[2026-01-20T18:16:43.444Z] Loaded regex filter from badwords.filter: /asses/i
[2026-01-20T18:16:43.445Z] Loaded regex filter from badwords.filter: /assfucker/i
[2026-01-20T18:16:43.446Z] Loaded regex filter from badwords.filter: /assfukka/i
[2026-01-20T18:16:43.447Z] Loaded regex filter from badwords.filter: /asshole/i
[2026-01-20T18:16:43.447Z] Loaded regex filter from badwords.filter: /assholes/i
[2026-01-20T18:16:43.448Z] Loaded regex filter from badwords.filter: /asswhole/i
[2026-01-20T18:16:43.450Z] Loaded regex filter from badwords.filter: /a_s_s/i
[2026-01-20T18:16:43.452Z] Loaded regex filter from badwords.filter: /b!tch/i
[2026-01-20T18:16:43.453Z] Loaded regex filter from badwords.filter: /b00bs/i
[2026-01-20T18:16:43.455Z] Loaded regex filter from badwords.filter: /b17ch/i
[2026-01-20T18:16:43.456Z] Loaded regex filter from badwords.filter: /b1tch/i
[2026-01-20T18:16:43.458Z] Loaded regex filter from badwords.filter: /ballbag/i
[2026-01-20T18:16:43.458Z] Loaded regex filter from badwords.filter: /balls/i
[2026-01-20T18:16:43.459Z] Loaded regex filter from badwords.filter: /ballsack/i
[2026-01-20T18:16:43.460Z] Loaded regex filter from badwords.filter: /bastard/i
[2026-01-20T18:16:43.461Z] Loaded regex filter from badwords.filter: /beastial/i
[2026-01-20T18:16:43.461Z] Loaded regex filter from badwords.filter: /beastiality/i
